Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Mike Reilly (13880310),Mike Reilly,13880310,D/UTIL,2800,MON@BOS 12/01/2019 07:00PM ET,MON,5.84
C,Nate Thompson (13880126),Nate Thompson,13880126,C/UTIL,2700,MON@BOS 12/01/2019 07:00PM ET,MON,4.70
RW,Jordan Weal (13880212),Jordan Weal,13880212,W/UTIL,2700,MON@BOS 12/01/2019 07:00PM ET,MON,5.36
D,Christopher Tanev (13880312),Christopher Tanev,13880312,D/UTIL,2700,EDM@VAN 12/01/2019 10:00PM ET,VAN,6.84
LW,Anders Bjork (13880216),Anders Bjork,13880216,W/UTIL,2600,MON@BOS 12/01/2019 07:00PM ET,BOS,5.68
C,Riley Sheahan (13880128),Riley Sheahan,13880128,C/UTIL,2600,EDM@VAN 12/01/2019 10:00PM ET,EDM,2.24
RW,Nikolay Goldobin (13880214),Nikolay Goldobin,13880214,W/UTIL,2600,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
D,Kris Russell (13880314),Kris Russell,13880314,D/UTIL,2600,EDM@VAN 12/01/2019 10:00PM ET,EDM,5.68
D,Adam Larsson (13880316),Adam Larsson,13880316,D/UTIL,2600,EDM@VAN 12/01/2019 10:00PM ET,EDM,3.95
C,Par Lindholm (13880134),Par Lindholm,13880134,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,2.68
C,Brendan Gaunce (13880138),Brendan Gaunce,13880138,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,5
C,Jakub Lauko (13880140),Jakub Lauko,13880140,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
C,Oskar Steen (13880150),Oskar Steen,13880150,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
C,Trent Frederic (13880152),Trent Frederic,13880152,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0.75
C,Cameron Hughes (13880158),Cameron Hughes,13880158,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,2.6
C,Matthew Peca (13880160),Matthew Peca,13880160,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
C,Michael McCarron (13880162),Michael McCarron,13880162,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
C,Ryan Poehling (13880164),Ryan Poehling,13880164,C/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,2.48
RW,Chris Wagner (13880226),Chris Wagner,13880226,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,3.27
LW,Charles Hudon (13880228),Charles Hudon,13880228,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,3.47
LW,Joakim Nordstrom (13880230),Joakim Nordstrom,13880230,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,3.86
RW,David Backes (13880234),David Backes,13880234,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,3.39
LW,Anton Blidh (13880236),Anton Blidh,13880236,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
RW,Brett Ritchie (13880246),Brett Ritchie,13880246,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,4.09
RW,Zach Senyshyn (13880248),Zach Senyshyn,13880248,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,3.2
RW,Karson Kuhlman (13880250),Karson Kuhlman,13880250,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,2.92
RW,Dale Weise (13880258),Dale Weise,13880258,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
RW,Paul Carey (13880262),Paul Carey,13880262,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,1.3
LW,Joel Teasdale (13880268),Joel Teasdale,13880268,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
LW,Phil Varone (13880276),Phil Varone,13880276,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
LW,Peter Cehlarik (13880278),Peter Cehlarik,13880278,W/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,2.53
D,Connor Clifton (13880324),Connor Clifton,13880324,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,3.69
D,Brett Kulak (13880326),Brett Kulak,13880326,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,4.35
D,John Moore (13880328),John Moore,13880328,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
D,Gustav Olofsson (13880334),Gustav Olofsson,13880334,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,8.4
D,Cale Fleury (13880336),Cale Fleury,13880336,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,4.44
D,Steven Kampfer (13880338),Steven Kampfer,13880338,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,2.8
D,Kevan Miller (13880340),Kevan Miller,13880340,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
D,Christian Folin (13880348),Christian Folin,13880348,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,4.54
D,Karl Alzner (13880360),Karl Alzner,13880360,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
D,Jakub Zboril (13880364),Jakub Zboril,13880364,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
D,Noah Juulsen (13880370),Noah Juulsen,13880370,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
D,Xavier Ouellet (13880372),Xavier Ouellet,13880372,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,MON,0
D,Jeremy Lauzon (13880374),Jeremy Lauzon,13880374,D/UTIL,2500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
