"","ID","Name","Salary","Position","Points","C1","C2","W1","W2","W3","D1","D2","G","Util","Team","GameInfo"
"90",13880170,"Leon Draisaitl",7500,"LW",16.85,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"91",13880240,"Loui Eriksson",2500,"RW",2.37,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"92",13880220,"Markus Granlund",2500,"LW",3.48,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"93",13880300,"Matt Grzelcyk",3600,"D",5.9,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"94",13880160,"Matthew Peca",2500,"C",0,1,1,0,0,0,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"95",13880106,"Max Domi",5000,"C",8.53,1,1,0,0,0,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"96",13880388,"Maxime Lagace",6500,"G",0,0,0,0,0,0,0,0,1,0,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"97",13880385,"Michael DiPietro",7300,"G",0,0,0,0,0,0,0,0,1,0,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"98",13880162,"Michael McCarron",2500,"C",0,1,1,0,0,0,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"99",13880242,"Micheal Ferland",2500,"LW",4.11,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"100",13880310,"Mike Reilly",2800,"D",5.84,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"101",13880379,"Mike Smith",7800,"G",12.41,0,0,0,0,0,0,0,1,0,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"102",13880383,"Mikko Koskinen",7700,"G",15.69,0,0,0,0,0,0,0,1,0,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"103",13880126,"Nate Thompson",2700,"C",4.7,1,1,0,0,0,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
